Video,Predicted,Real,Fake,Total,Label,Accuracy (%),Real (%),Fake (%)
06_12__talking_against_wall__3K21NFNM.mp4,0,23,8,31,0,100,74.19354839,25.80645161
06_12__walking_and_outside_surprised__3K21NFNM.mp4,1,0,31,31,0,0,0,100
06_12__walking_down_indoor_hall_disgust__3K21NFNM.mp4,1,0,31,31,0,0,0,100
06_12__walking_down_street_outside_angry__3K21NFNM.mp4,1,0,31,31,0,0,0,100
06_12__walk_down_hall_angry__3K21NFNM.mp4,0,31,0,31,0,100,100,0
06_14__hugging_happy__8U9ULZDT.mp4,1,0,31,31,0,0,0,100
06_14__kitchen_still__8U9ULZDT.mp4,1,0,31,31,0,0,0,100
06_14__outside_talking_pan_laughing__8U9ULZDT.mp4,0,31,0,31,0,100,100,0
06_14__outside_talking_still_laughing__8U9ULZDT.mp4,0,31,0,31,0,100,100,0
06_14__podium_speech_happy__8U9ULZDT.mp4,1,0,31,31,0,0,0,100
06_14__talking_angry_couch__8U9ULZDT.mp4,1,0,31,31,0,0,0,100
06_14__walking_and_outside_surprised__8U9ULZDT.mp4,1,0,31,31,0,0,0,100
06_14__walking_down_indoor_hall_disgust__8U9ULZDT.mp4,1,0,31,31,0,0,0,100
06_15__exit_phone_room__QRCD27P8.mp4,0,31,0,31,0,100,100,0
06_15__hugging_happy__QRCD27P8.mp4,1,1,30,31,0,0,3.225806452,96.77419355
06_15__kitchen_pan__E98QYYXO.mp4,1,11,20,31,0,0,35.48387097,64.51612903
06_15__kitchen_pan__QRCD27P8.mp4,1,11,20,31,0,0,35.48387097,64.51612903
06_15__kitchen_still__QRCD27P8.mp4,1,0,31,31,0,0,0,100
06_15__outside_talking_pan_laughing__QRCD27P8.mp4,0,31,0,31,0,100,100,0
06_15__outside_talking_still_laughing__E98QYYXO.mp4,0,31,0,31,0,100,100,0
06_15__outside_talking_still_laughing__QRCD27P8.mp4,0,31,0,31,0,100,100,0
06_15__podium_speech_happy__QRCD27P8.mp4,1,0,31,31,0,0,0,100
06_15__talking_against_wall__QRCD27P8.mp4,0,23,8,31,0,100,74.19354839,25.80645161
06_15__walking_and_outside_surprised__QRCD27P8.mp4,1,0,31,31,0,0,0,100
06_15__walking_down_indoor_hall_disgust__QRCD27P8.mp4,1,0,31,31,0,0,0,100
06_15__walking_down_street_outside_angry__YDX3GHFS.mp4,1,0,31,31,0,0,0,100
06_15__walking_outside_cafe_disgusted__QRCD27P8.mp4,0,27,4,31,0,100,87.09677419,12.90322581
06_18__exit_phone_room__H9445M6R.mp4,0,30,1,31,0,100,96.77419355,3.225806452
06_18__exit_phone_room__XJ76YU5A.mp4,0,31,0,31,0,100,100,0
06_18__kitchen_pan__5HNHMK6G.mp4,1,11,20,31,0,0,35.48387097,64.51612903
06_18__kitchen_pan__LH0KWJKM.mp4,1,11,20,31,0,0,35.48387097,64.51612903
06_18__kitchen_pan__XJ76YU5A.mp4,1,10,21,31,0,0,32.25806452,67.74193548
06_18__kitchen_still__XJ76YU5A.mp4,1,0,31,31,0,0,0,100
06_18__outside_talking_pan_laughing__DEA1TCLN.mp4,0,31,0,31,0,100,100,0
06_18__outside_talking_pan_laughing__MVXBDKGB.mp4,0,31,0,31,0,100,100,0
06_18__outside_talking_pan_laughing__UIQG2RF4.mp4,0,30,1,31,0,100,96.77419355,3.225806452
06_18__outside_talking_still_laughing__DEA1TCLN.mp4,0,31,0,31,0,100,100,0
06_18__outside_talking_still_laughing__M36D0OJT.mp4,0,31,0,31,0,100,100,0
06_18__podium_speech_happy__5HNHMK6G.mp4,1,0,31,31,0,0,0,100
06_18__podium_speech_happy__DEA1TCLN.mp4,1,0,31,31,0,0,0,100
06_18__talking_against_wall__DEA1TCLN.mp4,0,23,8,31,0,100,74.19354839,25.80645161
06_18__talking_angry_couch__DEA1TCLN.mp4,1,0,31,31,0,0,0,100
06_18__talking_angry_couch__H9445M6R.mp4,1,0,31,31,0,0,0,100
06_18__walking_and_outside_surprised__MVXBDKGB.mp4,1,0,31,31,0,0,0,100
06_18__walking_down_indoor_hall_disgust__DEA1TCLN.mp4,1,0,31,31,0,0,0,100
06_18__walking_down_street_outside_angry__MVXBDKGB.mp4,1,0,31,31,0,0,0,100
06_18__walking_outside_cafe_disgusted__DEA1TCLN.mp4,0,31,0,31,0,100,100,0
06_18__walking_outside_cafe_disgusted__OWJY9LQU.mp4,0,28,3,31,0,100,90.32258065,9.677419355
06_18__walking_outside_cafe_disgusted__S7S2XGDP.mp4,0,29,2,31,0,100,93.5483871,6.451612903
06_18__walk_down_hall_angry__LH0KWJKM.mp4,0,31,0,31,0,100,100,0
06_18__walk_down_hall_angry__OWJY9LQU.mp4,0,31,0,31,0,100,100,0
06_20__hugging_happy__6SUW7063.mp4,1,0,31,31,0,0,0,100
06_20__kitchen_pan__6SUW7063.mp4,1,12,19,31,0,0,38.70967742,61.29032258
06_20__outside_talking_pan_laughing__6SUW7063.mp4,0,31,0,31,0,100,100,0
06_20__podium_speech_happy__6SUW7063.mp4,1,0,31,31,0,0,0,100
06_20__walk_down_hall_angry__6SUW7063.mp4,0,31,0,31,0,100,100,0
06_21__walking_and_outside_surprised__058I9NIZ.mp4,1,0,31,31,0,0,0,100
06_25__exit_phone_room__MI9BDQ7M.mp4,0,30,1,31,0,100,96.77419355,3.225806452
06_25__outside_talking_pan_laughing__3QQBVBYN.mp4,0,31,0,31,0,100,100,0
06_25__outside_talking_pan_laughing__MI9BDQ7M.mp4,0,31,0,31,0,100,100,0
06_25__outside_talking_still_laughing__3QQBVBYN.mp4,0,31,0,31,0,100,100,0
06_25__outside_talking_still_laughing__MI9BDQ7M.mp4,0,31,0,31,0,100,100,0
06_25__talking_angry_couch__MI9BDQ7M.mp4,1,0,31,31,0,0,0,100
06_25__walking_and_outside_surprised__3QQBVBYN.mp4,1,0,31,31,0,0,0,100
06_25__walking_and_outside_surprised__MI9BDQ7M.mp4,1,0,31,31,0,0,0,100
06_25__walk_down_hall_angry__3QQBVBYN.mp4,0,31,0,31,0,100,100,0
06_26__kitchen_pan__L5BVR5L9.mp4,1,11,20,31,0,0,35.48387097,64.51612903
06_26__kitchen_still__L5BVR5L9.mp4,1,0,31,31,0,0,0,100
06_26__outside_talking_still_laughing__L5BVR5L9.mp4,0,31,0,31,0,100,100,0
06_26__podium_speech_happy__L5BVR5L9.mp4,1,0,31,31,0,0,0,100
06_26__talking_against_wall__L5BVR5L9.mp4,0,24,7,31,0,100,77.41935484,22.58064516
06_26__talking_angry_couch__L5BVR5L9.mp4,1,0,31,31,0,0,0,100
06_26__walking_down_street_outside_angry__L5BVR5L9.mp4,1,0,31,31,0,0,0,100
06_26__walking_outside_cafe_disgusted__L5BVR5L9.mp4,0,27,4,31,0,100,87.09677419,12.90322581
06_26__walk_down_hall_angry__L5BVR5L9.mp4,0,31,0,31,0,100,100,0
06_27__hugging_happy__S3T7SK9O.mp4,1,1,30,31,0,0,3.225806452,96.77419355
06_27__outside_talking_pan_laughing__O7L5Z9U8.mp4,0,31,0,31,0,100,100,0
06_27__outside_talking_still_laughing__SZWVBWY4.mp4,0,31,0,31,0,100,100,0
06_27__talking_against_wall__S3T7SK9O.mp4,1,4,27,31,0,0,12.90322581,87.09677419
06_27__talking_angry_couch__JOG5PB18.mp4,1,0,31,31,0,0,0,100
06_27__walking_and_outside_surprised__O7L5Z9U8.mp4,1,0,31,31,0,0,0,100
06_27__walking_and_outside_surprised__SZWVBWY4.mp4,1,0,31,31,0,0,0,100
06_27__walking_and_outside_surprised__VN14WY2N.mp4,1,0,31,31,0,0,0,100
06_27__walking_down_street_outside_angry__S3T7SK9O.mp4,1,0,31,31,0,0,0,100
06_27__walking_outside_cafe_disgusted__S3T7SK9O.mp4,0,26,5,31,0,100,83.87096774,16.12903226
06_27__walking_outside_cafe_disgusted__VN14WY2N.mp4,0,30,1,31,0,100,96.77419355,3.225806452
06_27__walk_down_hall_angry__S3T7SK9O.mp4,0,31,0,31,0,100,100,0
07_02__exit_phone_room__1JCLEEBQ.mp4,0,31,0,31,0,100,100,0
07_02__exit_phone_room__1KPVZAAP.mp4,0,28,3,31,0,100,90.32258065,9.677419355
07_02__exit_phone_room__9NVRE2KQ.mp4,0,31,0,31,0,100,100,0
07_02__hugging_happy__1JCLEEBQ.mp4,1,0,31,31,0,0,0,100
07_02__hugging_happy__O4SXNLRL.mp4,1,0,31,31,0,0,0,100
07_02__kitchen_pan__34PVT42V.mp4,1,0,31,31,0,0,0,100
07_02__kitchen_pan__O4SXNLRL.mp4,1,0,31,31,0,0,0,100
07_02__kitchen_still__1ZE4HC06.mp4,0,31,0,31,0,100,100,0
07_02__outside_talking_pan_laughing__0IYV5DQ5.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_02__outside_talking_pan_laughing__1ZE4HC06.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_02__outside_talking_pan_laughing__O4SXNLRL.mp4,1,4,27,31,0,0,12.90322581,87.09677419
07_02__outside_talking_still_laughing__1ZE4HC06.mp4,1,0,31,31,0,0,0,100
07_02__secret_conversation__1JCLEEBQ.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_02__secret_conversation__U7DEOZNV.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_02__talking_against_wall__34PVT42V.mp4,1,10,21,31,0,0,32.25806452,67.74193548
07_02__talking_against_wall__O4SXNLRL.mp4,1,13,18,31,0,0,41.93548387,58.06451613
07_02__talking_against_wall__U7DEOZNV.mp4,1,13,18,31,0,0,41.93548387,58.06451613
07_02__talking_angry_couch__1H07DFQJ.mp4,1,0,31,31,0,0,0,100
07_02__talking_angry_couch__1VMZUH1W.mp4,1,0,31,31,0,0,0,100
07_02__walking_down_street_outside_angry__O4SXNLRL.mp4,1,0,31,31,0,0,0,100
07_02__walking_down_street_outside_angry__UH60ROEK.mp4,1,0,31,31,0,0,0,100
07_02__walking_outside_cafe_disgusted__1H07DFQJ.mp4,0,29,2,31,0,100,93.5483871,6.451612903
07_02__walk_down_hall_angry__1JCLEEBQ.mp4,0,31,0,31,0,100,100,0
07_02__walk_down_hall_angry__O4SXNLRL.mp4,0,31,0,31,0,100,100,0
07_02__walk_down_hall_angry__U7DEOZNV.mp4,0,31,0,31,0,100,100,0
07_03__exit_phone_room__6PHZRQ4H.mp4,0,31,0,31,0,100,100,0
07_03__exit_phone_room__WPT3Z2KN.mp4,0,27,4,31,0,100,87.09677419,12.90322581
07_03__hugging_happy__7NGMD8FT.mp4,1,0,31,31,0,0,0,100
07_03__hugging_happy__BKLOCI1M.mp4,1,0,31,31,0,0,0,100
07_03__hugging_happy__IFSURI9X.mp4,1,0,31,31,0,0,0,100
07_03__hugging_happy__W3MXGEU9.mp4,1,0,31,31,0,0,0,100
07_03__hugging_happy__WPT3Z2KN.mp4,1,0,31,31,0,0,0,100
07_03__kitchen_pan__PWXXULHR.mp4,1,2,29,31,0,0,6.451612903,93.5483871
07_03__kitchen_pan__WPT3Z2KN.mp4,1,4,27,31,0,0,12.90322581,87.09677419
07_03__kitchen_still__BKLOCI1M.mp4,0,31,0,31,0,100,100,0
07_03__kitchen_still__WPT3Z2KN.mp4,0,31,0,31,0,100,100,0
07_03__outside_talking_pan_laughing__6PHZRQ4H.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_03__outside_talking_pan_laughing__IFSURI9X.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_03__outside_talking_still_laughing__7NGMD8FT.mp4,1,0,31,31,0,0,0,100
07_03__outside_talking_still_laughing__F0YYEA5W.mp4,1,0,31,31,0,0,0,100
07_03__outside_talking_still_laughing__IFSURI9X.mp4,1,0,31,31,0,0,0,100
07_03__podium_speech_happy__6PHZRQ4H.mp4,1,0,31,31,0,0,0,100
07_03__podium_speech_happy__CDSNLDQ8.mp4,1,0,31,31,0,0,0,100
07_03__podium_speech_happy__IFSURI9X.mp4,1,0,31,31,0,0,0,100
07_03__secret_conversation__IFSURI9X.mp4,1,2,29,31,0,0,6.451612903,93.5483871
07_03__talking_against_wall__9NVYPOMN.mp4,1,9,22,31,0,0,29.03225806,70.96774194
07_03__talking_against_wall__IFSURI9X.mp4,1,4,27,31,0,0,12.90322581,87.09677419
07_03__talking_against_wall__PWXXULHR.mp4,1,6,25,31,0,0,19.35483871,80.64516129
07_03__talking_against_wall__WPT3Z2KN.mp4,1,5,26,31,0,0,16.12903226,83.87096774
07_03__talking_angry_couch__WPT3Z2KN.mp4,1,0,31,31,0,0,0,100
07_03__walking_down_street_outside_angry__CDSNLDQ8.mp4,1,0,31,31,0,0,0,100
07_03__walking_down_street_outside_angry__PWXXULHR.mp4,1,0,31,31,0,0,0,100
07_03__walking_outside_cafe_disgusted__6PHZRQ4H.mp4,0,19,12,31,0,100,61.29032258,38.70967742
07_03__walking_outside_cafe_disgusted__F0YYEA5W.mp4,0,31,0,31,0,100,100,0
07_03__walking_outside_cafe_disgusted__IFSURI9X.mp4,0,21,10,31,0,100,67.74193548,32.25806452
07_03__walking_outside_cafe_disgusted__WPT3Z2KN.mp4,0,29,2,31,0,100,93.5483871,6.451612903
07_03__walk_down_hall_angry__6PHZRQ4H.mp4,0,31,0,31,0,100,100,0
07_03__walk_down_hall_angry__IFSURI9X.mp4,0,31,0,31,0,100,100,0
07_03__walk_down_hall_angry__W3MXGEU9.mp4,0,31,0,31,0,100,100,0
07_04__exit_phone_room__QKCCFKBT.mp4,0,28,3,31,0,100,90.32258065,9.677419355
07_04__hugging_happy__ITC0C48B.mp4,1,0,31,31,0,0,0,100
07_04__hugging_happy__QKCCFKBT.mp4,1,0,31,31,0,0,0,100
07_04__kitchen_pan__M2NBCLFR.mp4,1,5,26,31,0,0,16.12903226,83.87096774
07_04__kitchen_pan__XRK7FGZX.mp4,1,1,30,31,0,0,3.225806452,96.77419355
07_04__kitchen_still__ITC0C48B.mp4,0,31,0,31,0,100,100,0
07_04__kitchen_still__M2NBCLFR.mp4,0,31,0,31,0,100,100,0
07_04__outside_talking_still_laughing__XRK7FGZX.mp4,1,0,31,31,0,0,0,100
07_06__exit_phone_room__NMGYPBXE.mp4,0,31,0,31,0,100,100,0
07_06__kitchen_pan__NMGYPBXE.mp4,1,1,30,31,0,0,3.225806452,96.77419355
07_06__outside_talking_pan_laughing__NMGYPBXE.mp4,1,2,29,31,0,0,6.451612903,93.5483871
07_06__outside_talking_still_laughing__NMGYPBXE.mp4,1,0,31,31,0,0,0,100
07_06__podium_speech_happy__NMGYPBXE.mp4,1,0,31,31,0,0,0,100
07_06__talking_against_wall__NMGYPBXE.mp4,1,8,23,31,0,0,25.80645161,74.19354839
07_06__walking_down_street_outside_angry__NMGYPBXE.mp4,1,0,31,31,0,0,0,100
07_06__walking_outside_cafe_disgusted__NMGYPBXE.mp4,0,19,12,31,0,100,61.29032258,38.70967742
07_09__hugging_happy__N9CWME71.mp4,1,0,31,31,0,0,0,100
07_09__kitchen_pan__N9CWME71.mp4,1,0,31,31,0,0,0,100
07_09__kitchen_still__N9CWME71.mp4,0,31,0,31,0,100,100,0
07_09__outside_talking_pan_laughing__N9CWME71.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_09__outside_talking_still_laughing__N9CWME71.mp4,1,0,31,31,0,0,0,100
07_09__secret_conversation__N9CWME71.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_09__walking_outside_cafe_disgusted__N9CWME71.mp4,0,18,13,31,0,100,58.06451613,41.93548387
07_09__walk_down_hall_angry__N9CWME71.mp4,0,31,0,31,0,100,100,0
07_11__exit_phone_room__PGC20QSY.mp4,0,31,0,31,0,100,100,0
07_11__hugging_happy__R7R86Z62.mp4,1,0,31,31,0,0,0,100
07_11__podium_speech_happy__PGC20QSY.mp4,1,0,31,31,0,0,0,100
07_11__talking_angry_couch__PGC20QSY.mp4,1,0,31,31,0,0,0,100
07_12__hugging_happy__X9X7FAZG.mp4,1,0,31,31,0,0,0,100
07_12__kitchen_pan__88BSFG9O.mp4,1,10,21,31,0,0,32.25806452,67.74193548
07_12__outside_talking_pan_laughing__0VN0A2T3.mp4,1,1,30,31,0,0,3.225806452,96.77419355
07_12__outside_talking_pan_laughing__KAG65PEE.mp4,1,2,29,31,0,0,6.451612903,93.5483871
07_12__outside_talking_still_laughing__0VN0A2T3.mp4,1,0,31,31,0,0,0,100
07_12__outside_talking_still_laughing__KAG65PEE.mp4,1,0,31,31,0,0,0,100
07_12__podium_speech_happy__KAG65PEE.mp4,1,0,31,31,0,0,0,100
07_12__podium_speech_happy__X9X7FAZG.mp4,1,0,31,31,0,0,0,100
07_12__secret_conversation__1MSOAVLL.mp4,1,1,30,31,0,0,3.225806452,96.77419355
07_12__talking_against_wall__0VN0A2T3.mp4,1,15,16,31,0,0,48.38709677,51.61290323
07_12__talking_angry_couch__88BSFG9O.mp4,1,0,31,31,0,0,0,100
07_12__walking_down_street_outside_angry__0VN0A2T3.mp4,1,0,31,31,0,0,0,100
07_12__walking_down_street_outside_angry__1MSOAVLL.mp4,1,0,31,31,0,0,0,100
07_12__walking_outside_cafe_disgusted__KAG65PEE.mp4,0,29,2,31,0,100,93.5483871,6.451612903
07_12__walk_down_hall_angry__KAG65PEE.mp4,0,31,0,31,0,100,100,0
07_13__exit_phone_room__RVQCPCJF.mp4,0,31,0,31,0,100,100,0
07_13__secret_conversation__RVQCPCJF.mp4,1,0,31,31,0,0,0,100
07_13__walking_down_street_outside_angry__RVQCPCJF.mp4,1,0,31,31,0,0,0,100
07_13__walking_outside_cafe_disgusted__RVQCPCJF.mp4,0,22,9,31,0,100,70.96774194,29.03225806
07_14__exit_phone_room__P9QFO50U.mp4,0,31,0,31,0,100,100,0
07_14__hugging_happy__P9QFO50U.mp4,1,0,31,31,0,0,0,100
07_14__hugging_happy__VOX29AK0.mp4,1,0,31,31,0,0,0,100
07_14__outside_talking_pan_laughing__P9QFO50U.mp4,1,2,29,31,0,0,6.451612903,93.5483871
07_14__outside_talking_still_laughing__P9QFO50U.mp4,1,0,31,31,0,0,0,100
07_14__podium_speech_happy__P9QFO50U.mp4,1,0,31,31,0,0,0,100
07_14__podium_speech_happy__VOX29AK0.mp4,1,0,31,31,0,0,0,100
07_14__secret_conversation__P9QFO50U.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_14__talking_against_wall__P9QFO50U.mp4,1,7,24,31,0,0,22.58064516,77.41935484
07_14__walking_down_street_outside_angry__VOX29AK0.mp4,1,0,31,31,0,0,0,100
07_14__walk_down_hall_angry__P9QFO50U.mp4,0,31,0,31,0,100,100,0
07_15__hugging_happy__9Z2MLKVX.mp4,1,0,31,31,0,0,0,100
07_15__kitchen_still__9Z2MLKVX.mp4,0,31,0,31,0,100,100,0
07_15__outside_talking_pan_laughing__UGGRZJ60.mp4,1,1,30,31,0,0,3.225806452,96.77419355
07_15__outside_talking_still_laughing__KM6M2TBT.mp4,1,0,31,31,0,0,0,100
07_15__talking_angry_couch__8MEZ98NR.mp4,1,0,31,31,0,0,0,100
07_15__walking_down_street_outside_angry__NYPO7U50.mp4,1,0,31,31,0,0,0,100
07_15__walk_down_hall_angry__9Z2MLKVX.mp4,0,31,0,31,0,100,100,0
07_15__walk_down_hall_angry__KM6M2TBT.mp4,0,31,0,31,0,100,100,0
07_15__walk_down_hall_angry__NYPO7U50.mp4,0,31,0,31,0,100,100,0
07_20__outside_talking_pan_laughing__5VT4USF9.mp4,1,3,28,31,0,0,9.677419355,90.32258065
07_20__outside_talking_pan_laughing__KV6Q7D6C.mp4,1,1,30,31,0,0,3.225806452,96.77419355
07_20__talking_against_wall__KV6Q7D6C.mp4,1,14,17,31,0,0,45.16129032,54.83870968
07_20__walk_down_hall_angry__KV6Q7D6C.mp4,0,31,0,31,0,100,100,0
07_21__exit_phone_room__K7KXUHMU.mp4,0,31,0,31,0,100,100,0
07_21__exit_phone_room__MKU99DVX.mp4,0,31,0,31,0,100,100,0
07_21__hugging_happy__CRGVSDBI.mp4,1,0,31,31,0,0,0,100
07_21__kitchen_pan__K7KXUHMU.mp4,1,0,31,31,0,0,0,100
07_21__kitchen_still__K7KXUHMU.mp4,0,31,0,31,0,100,100,0
07_21__kitchen_still__MKU99DVX.mp4,0,31,0,31,0,100,100,0
07_21__outside_talking_still_laughing__K7KXUHMU.mp4,1,0,31,31,0,0,0,100
07_21__secret_conversation__CRGVSDBI.mp4,1,0,31,31,0,0,0,100
07_21__secret_conversation__MKU99DVX.mp4,1,1,30,31,0,0,3.225806452,96.77419355
07_21__talking_against_wall__CRGVSDBI.mp4,1,13,18,31,0,0,41.93548387,58.06451613
07_21__talking_against_wall__MKU99DVX.mp4,1,10,21,31,0,0,32.25806452,67.74193548
07_21__talking_angry_couch__MKU99DVX.mp4,1,0,31,31,0,0,0,100
07_21__walking_down_street_outside_angry__K7KXUHMU.mp4,1,0,31,31,0,0,0,100
07_21__walking_down_street_outside_angry__MKU99DVX.mp4,1,0,31,31,0,0,0,100
07_25__exit_phone_room__IKMKYKPG.mp4,0,31,0,31,0,100,100,0
07_25__hugging_happy__IKMKYKPG.mp4,1,0,31,31,0,0,0,100
07_25__outside_talking_pan_laughing__IKMKYKPG.mp4,1,1,30,31,0,0,3.225806452,96.77419355
07_25__talking_angry_couch__LZYKF7LK.mp4,1,0,31,31,0,0,0,100
07_25__walking_down_street_outside_angry__IKMKYKPG.mp4,1,0,31,31,0,0,0,100
07_25__walking_outside_cafe_disgusted__PAE9HCA8.mp4,0,27,4,31,0,100,87.09677419,12.90322581
07_25__walk_down_hall_angry__PAE9HCA8.mp4,0,31,0,31,0,100,100,0
07_26__exit_phone_room__FGNGC2GT.mp4,0,31,0,31,0,100,100,0
07_26__kitchen_pan__FGNGC2GT.mp4,1,4,27,31,0,0,12.90322581,87.09677419
07_26__kitchen_still__FGNGC2GT.mp4,0,31,0,31,0,100,100,0
07_26__outside_talking_pan_laughing__FGNGC2GT.mp4,1,4,27,31,0,0,12.90322581,87.09677419
07_26__outside_talking_still_laughing__FGNGC2GT.mp4,1,0,31,31,0,0,0,100
07_26__podium_speech_happy__FGNGC2GT.mp4,1,0,31,31,0,0,0,100
07_26__talking_against_wall__FGNGC2GT.mp4,1,5,26,31,0,0,16.12903226,83.87096774
07_26__walking_down_street_outside_angry__FGNGC2GT.mp4,1,0,31,31,0,0,0,100
07_26__walk_down_hall_angry__FGNGC2GT.mp4,0,31,0,31,0,100,100,0
07_27__kitchen_still__3RH5PR6S.mp4,0,31,0,31,0,100,100,0
07_27__walking_down_street_outside_angry__3RH5PR6S.mp4,1,0,31,31,0,0,0,100
08_05__exit_phone_room__BGI70HJ5.mp4,1,4,27,31,0,0,12.90322581,87.09677419
08_05__exit_phone_room__UNN7ZGKO.mp4,0,16,15,31,0,100,51.61290323,48.38709677
08_05__kitchen_still__LVIZ2X8P.mp4,0,28,3,31,0,100,90.32258065,9.677419355
08_05__kitchen_still__UNN7ZGKO.mp4,0,26,5,31,0,100,83.87096774,16.12903226
08_05__podium_speech_happy__PRBCE28Z.mp4,1,0,31,31,0,0,0,100
08_05__walk_down_hall_angry__FBICSP2C.mp4,0,31,0,31,0,100,100,0
08_05__walk_down_hall_angry__PRBCE28Z.mp4,0,31,0,31,0,100,100,0
08_05__walk_down_hall_angry__YN1Q9TER.mp4,0,31,0,31,0,100,100,0
08_16__exit_phone_room__8Q7JCS95.mp4,0,31,0,31,0,100,100,0
08_16__kitchen_pan__8Q7JCS95.mp4,1,0,31,31,0,0,0,100
08_16__kitchen_still__8Q7JCS95.mp4,0,26,5,31,0,100,83.87096774,16.12903226
08_16__podium_speech_happy__8Q7JCS95.mp4,1,0,31,31,0,0,0,100
08_16__talking_against_wall__8Q7JCS95.mp4,1,0,31,31,0,0,0,100
08_17__exit_phone_room__CFIY1YEQ.mp4,0,31,0,31,0,100,100,0
08_17__kitchen_pan__JZYRLJ8T.mp4,1,0,31,31,0,0,0,100
08_17__kitchen_still__JZYRLJ8T.mp4,0,29,2,31,0,100,93.5483871,6.451612903
08_17__kitchen_still__ZCEYWYTC.mp4,0,27,4,31,0,100,87.09677419,12.90322581
08_17__outside_talking_still_laughing__JZYRLJ8T.mp4,1,7,24,31,0,0,22.58064516,77.41935484
08_17__podium_speech_happy__QOX5NWIJ.mp4,1,0,31,31,0,0,0,100
08_17__podium_speech_happy__ZCEYWYTC.mp4,1,0,31,31,0,0,0,100
08_17__talking_against_wall__ISS1V0B1.mp4,1,0,31,31,0,0,0,100
08_17__walk_down_hall_angry__QOX5NWIJ.mp4,0,31,0,31,0,100,100,0
08_28__exit_phone_room__KXO8S7OP.mp4,0,16,15,31,0,100,51.61290323,48.38709677
08_28__exit_phone_room__LVT0XNQG.mp4,1,6,25,31,0,0,19.35483871,80.64516129
08_28__kitchen_pan__6HFK6PB4.mp4,1,0,31,31,0,0,0,100
08_28__kitchen_pan__LVT0XNQG.mp4,1,0,31,31,0,0,0,100
08_28__outside_talking_pan_laughing__8BC35RFU.mp4,1,0,31,31,0,0,0,100
08_28__outside_talking_pan_laughing__HIOU8Z8I.mp4,1,0,31,31,0,0,0,100
08_28__outside_talking_still_laughing__8BC35RFU.mp4,1,10,21,31,0,0,32.25806452,67.74193548
08_28__podium_speech_happy__GGCUYQA4.mp4,1,0,31,31,0,0,0,100
08_28__podium_speech_happy__HIOU8Z8I.mp4,1,0,31,31,0,0,0,100
08_28__podium_speech_happy__KXO8S7OP.mp4,1,0,31,31,0,0,0,100
08_28__walking_outside_cafe_disgusted__GQN9WHLD.mp4,0,25,6,31,0,100,80.64516129,19.35483871
08_28__walk_down_hall_angry__GGCUYQA4.mp4,0,31,0,31,0,100,100,0
09_01__outside_talking_pan_laughing__SJZRV69J.mp4,1,0,31,31,0,0,0,100
09_01__outside_talking_still_laughing__SJZRV69J.mp4,1,1,30,31,0,0,3.225806452,96.77419355
09_01__talking_against_wall__O8HNNX43.mp4,1,0,31,31,0,0,0,100
09_01__talking_angry_couch__6TSGVLHA.mp4,1,0,31,31,0,0,0,100
09_01__talking_angry_couch__P70H1JB0.mp4,1,0,31,31,0,0,0,100
09_01__walking_down_street_outside_angry__P70H1JB0.mp4,1,0,31,31,0,0,0,100
09_01__walking_down_street_outside_angry__SJZRV69J.mp4,1,0,31,31,0,0,0,100
09_01__walk_down_hall_angry__6TSGVLHA.mp4,0,31,0,31,0,100,100,0
09_02__exit_phone_room__6KUOFMZW.mp4,0,24,7,31,0,100,77.41935484,22.58064516
09_02__exit_phone_room__HIH8YA82.mp4,0,31,0,31,0,100,100,0
09_02__kitchen_pan__6KUOFMZW.mp4,0,20,11,31,0,100,64.51612903,35.48387097
09_02__kitchen_pan__9TDCEK1Q.mp4,0,19,12,31,0,100,61.29032258,38.70967742
09_02__kitchen_pan__HIH8YA82.mp4,0,20,11,31,0,100,64.51612903,35.48387097
09_02__outside_talking_pan_laughing__6KUOFMZW.mp4,1,1,30,31,0,0,3.225806452,96.77419355
09_02__outside_talking_pan_laughing__HIH8YA82.mp4,1,1,30,31,0,0,3.225806452,96.77419355
09_02__outside_talking_still_laughing__9TDCEK1Q.mp4,1,0,31,31,0,0,0,100
09_02__podium_speech_happy__9TDCEK1Q.mp4,1,0,31,31,0,0,0,100
09_02__podium_speech_happy__HIH8YA82.mp4,1,0,31,31,0,0,0,100
09_02__talking_angry_couch__6KUOFMZW.mp4,1,0,31,31,0,0,0,100
09_02__walking_down_street_outside_angry__6KUOFMZW.mp4,1,0,31,31,0,0,0,100
09_02__walking_down_street_outside_angry__9TDCEK1Q.mp4,1,0,31,31,0,0,0,100
09_02__walking_down_street_outside_angry__HIH8YA82.mp4,1,0,31,31,0,0,0,100
09_02__walk_down_hall_angry__6KUOFMZW.mp4,0,31,0,31,0,100,100,0
09_02__walk_down_hall_angry__9TDCEK1Q.mp4,0,31,0,31,0,100,100,0
